Number,Project Name,Links,Description,Host/Recipient Country/ies,Provider Country/ies,Regions Involved,Entity/ies Supporting and/or Implementing,Is the private sector involved?,Does it involve LDCs?,UNDP as Implementor,UNDP as Donor,Start year,End year,Thematic Areas,Primary SDG Contribution,Secondary SDG Contribution
70,"Enhancing Peace, Security and Stability in Africa ",https://my.southsouth-galaxy.org/en/solutions/detail/enhancing-peace-security-and-stability-in-africa,"The project supported African countries in promoting peace and security, preventing conflicts, and addressing transnational threats, such as terrorism and organized crime. The Cairo International Centre for Conflict Resolution, Peacekeeping and Peacebuilding (CCCPA) aimed to enhance African capacities to prevent, manage and resolve conflicts, and to combat transnational threats and challenges to African peace and security through SSTC. A case in point is to strengthen the cooperation between Egypt and South Sudan.","BFA,CMR,CAF,TCD,COD,EGY,ETH,GAB,KEN,MLI,MOZ,NGA,RWA,SOM,SSD,ZMB",EGY,"Africa,Asia Pacific,Europe","Governments of Japan,Sweden and Switzerland,UNDP-Egypt,Cairo International Centre for Conflict Resolution,Peacekeeping and Peacebuilding(CCCPA)",,YES,YES,,2014,2022,"Governance,Resilience",SDG16,"SDG5,SDG8,SDG17"
71,The Aswan Forum for Sustainable Peace and Development ,https://my.southsouth-galaxy.org/en/solutions/detail/the-aswan-forum-for-sustainable-peace-and-development,"The project provided a platform for African leaders, policymakers, and stakeholders to discuss and promote sustainable development, peace, and security in Africa. Eygpt contributed to SSC through the Cairo International Centre for Conflict Resolution, Peacekeeping and Peacebuilding to  secure additional resources/expertise necessary for the implementation of activities in Africa, and utilize opportunities for collaboration with other leading training and research institutions in African countries.","TCD,COM,EGY,GAB,NER,NGA,SEN,TGO",EGY,Africa,"Government of Japan,Sweden,United Kingdom,African Development Bank,International Organization for Migration,EFG Hermes Holding S.A.E,UNDP-Egypt,Cairo International Centre for Conflict Resolution,Peacekeeping and Peacebuilding (CCCPA) ",YES,YES,,,2019,2023,"Governance,Resilience",SDG17,"SDG5,SDG8,SDG16"
72,UNDP Crowdfunding Academy ,https://my.southsouth-galaxy.org/en/solutions/detail/undp-crowdfunding-academy,"The project provided training and support to entrepreneurs and social innovators to help them raise funds through crowdfunding and scale their businesses or initiatives. The UNDP Crowdfunding Academy (CFA) is a programme, a platform and a community that provides visibility, funding and supports capacity-building and knowledge-sharing among countries,  so far 30 CFAs have been conducted.","BGD,BRB,CPV,COL,CRI,DJI,ECU,EGY,FJI,IDN,KAZ,KGZ,LBN,MDG,MDV,MEX,MAR,PAN,PHL,SOM,PSE,TJK,THA,TUN,TUR,URY,UZB,YEM,BFA,IRQ,JOR,LBY,NER,PAK,SEN,CHN,IND,LKA,BIH,HRV,XKK,MDA,MKD,MNE,SRB,ALB",EGY,"Africa,LAC,Asia Pacific,Europe","UNDP(BERA Innovative Digital Partnerships Team and IRH Innovation Team-Alternative Finance Lab,Islamic Development Bank (ISDB),Islamic Solidarity Fund for Development (ISFD) ",,YES,YES,,2015,2023,Poverty and Inequality,SDG17,SDG1
73,Innovative Solutions in Response to the COVID-19 Crisis in Albania and North Macedonia ,"https://nip.rs/en/news/1358-innovations-from-serbia-are-helping-northern-macedonia-and-albania-respond-to-covid-19, https://my.southsouth-galaxy.org/en/solutions/detail/covid19-albania-north-macedonia","Four Serbian companies helped partner companies in northern Macedonia develop an algorithm to more accurately interpret COVID-19 antibody test results, a web and mobile application for distance health access, a free digital distance learning tool and a digital solution for more efficient management small and medium-sized enterprises (SMEs) in the field of industry. Two Serbian companies have enabled their Albanian partners to introduce a rapid antigen test to detect coronavirus in the early stages of infection in asymptomatic patients, as well as to develop a digital platform to assess the impact of new investment projects on the environment and society. The implementation of these innovative solutions was supported by the Government of the Republic of Serbia, through official development assistance provided to the Republic of Northern Macedonia and the Republic of Albania within the ""Open Balkans"" initiative, in order to contribute to faster recovery of the two countries from the crisis.Apart from the direct SSC between Serbian and Macedonian companies, the platform was built upon  6 innovative solutions were selected through the Challenge launched by UNDP. The aim of this public call was to enable innovators from Serbia to transfer their knowledge and expertise in response to COVID-19 to partner companies and organizations in Northern Macedonia and Albania.","ALB,MKD,SRB",SRB,Europe,"Government of Serbia,UNDP Serbia,Government of  Northern Macedonia and Albania",,,YES,,2021,2022,Environment,SDG17,"SDG3,SDG8,SDG17"
74,Benin Agribusiness Development Project ,https://my.southsouth-galaxy.org/en/solutions/detail/benin-agribusiness-development-project,"The project aimed to promote agribusiness and increase agricultural productivity and competitiveness in Benin, by providing farmers with access to finance, training, and market opportunities. India and UNDP implemented the project in Benin, and the project envisages future South-South sharing of experiences with other countries (especially in Africa and Latin America) that are investing in their agricultural potential and promoting youth and women entrepreneurship and employment in the agribusiness sector.",BEN,IND,"Asia Pacific,Africa","UNDP Benin,Government of Benin,Government of India through the India-UN Development Partnership Fund,managed by the United Nations Office for South-South Cooperation(UNOSSC) ",YES,YES,YES,YES,2018,2021,Gender Equality,SDG2,"SDG5,SDG8,SDG17"
75,Support to Zimbabwes Ministry in Charge of Lands and Rural Resettlement,https://my.southsouth-galaxy.org/en/solutions/detail/support-to-zimbabwes-ministry-in-charge-of-lands-and-rural-resettlement,"The project aimed to improve land governance and support rural development in Zimbabwe, by strengthening the capacity of the Ministry and providing technical assistance. Zimbabwe Commissioners visited Brazil and Malaysia in 2017 through South-South study tours to learn international experiences and best practices on land reform and tenure issues. Additional South-South study tours to African countries (Kenya, Rwanda and the United Republic of Tanzania) in 2018 provided the commissioners with knowledge about different local land-governance provisions and regulations. This project was supported by UNDP and the European Union.",ZWE,"BRA,KEN,MYS,RWA,TZA","LAC,Africa,Europe","UNDP,European Union,ZimbabweMinistry of Lands,Agriculture,Water,Climate and Rural Resettlement (MLAWCRR) ",,YES,,,2014,2019,Governance,SDG16,SDG17
76,Global Network of Human Milk Banks ,https://my.southsouth-galaxy.org/en/solutions/detail/global-network-of-human-milk-banks,"The project aimed to promote breastfeeding and improve the health of infants and mothers worldwide, by establishing and supporting human milk banks. Angola, Cabo Verde, Mozambique learned experience from Brazil through South-South cooperation for the implementation of a human milk bank involves professional capacity building, provision of specialized equipment and adaptation of physical facilities.","AGO,CPV,MOZ",BRA,"LAC,Africa","UNDP,Brazilian Cooperation Agency (ABC),Ministries of Health of the rBLH participating countries,Oswaldo Cruz Foundation (Fiocruz),BrazilMinistry of Health",,YES,,,2010,Present,Governance,SDG3,"SDG2,SDG17,SDG3"
77,Accelerating the Transformational Shift to a Low-Carbon Economy in Mauritius ,https://my.southsouth-galaxy.org/en/solutions/detail/accelerating-the-transformational-shift-to-a-low-carbon-economy-in-mauritius,"The project aimed to promote sustainable and low-carbon economic growth in Mauritius. The project encompassed Mauritius Renewable Energy Agency (MARENA) to coordinate the rapid uptake of renewable energy and to provide technical oversight and policy planning support. South-South linkages were established with other energy regulators, notably in India and South Africa, that have a similar role, i.e., with the mandate to promote renewable energy nationally.In 2019, DBSA, a leading African development finance institution wholly owned by the government of South Africa, began co-financing policy development activities of MARENA. In view of the DBSAstrong commitment to enabling Mauritius to promote investment in renewable energy, the scope of work of the contracted consultant (an energy firm from Uruguay) was expanded to ensure that, once the project is completed, MARENA will have all necessary technical tools and frameworks in place to promote the implementation of renewable energy projects. Under the project, UNDP is supporting awareness-raising and training activities on renewables and entrepreneurship, targeting in particular women, who are statistically underrepresented in the renewable energy sector and who have suffered disproportionately from the impacts of COVID-19.  ",MUS,"IND,ZAF","LAC,Africa,Asia Pacific","Green Climate Fund,Government of Mauritius,Development Bank of Southern Africa,Mauritius Ministry of Finance and Economic Development,Mauritius Ministry of Energy and Public Utilities,Central Electricity Board,Outer Islands Development Corporation,UNDP ",,,YES,,2017,2025,"Energy,Gender Equality,Environment",SDG7,"SDG5,SDG9,SDG13,SDG17"
78,Creating a Market for Development and Use of Biogas Resources in Guinea ,https://my.southsouth-galaxy.org/en/solutions/detail/creating-a-market-for-development-and-use-of-biogas-resources-in-guinea,"The project in Guinea aimed to create a market for the development and use of biogas resources. This project provided access to clean energy, improved waste management and supported local communities. It also facilitated economic growth by generating income and creating jobs. South-South cooperation contributed to the sustainability and replicability of the project's achievements. Close collaboration between the project and Burkina Faso's National Biodigester Programme allowed Guinean artisans and technicians to be trained in building the biodigesters.",GIN,BFA,Africa,"Global Environment Facility (GEF),UNDP,GuineaMinistry of Environment,Water and Forests,GuineaMinistry of Energy,GuineaMinistry of Livestock,GuineaMinistry of Agriculture",,YES,,,2016,2019,"Energy,Environment",SDG7,"SDG3,SDG5,SDG13,SDG15,SDG17"
79,Promotion of Renewable Energy Technologies in Public and Private Institutions in Ethiopia,https://my.southsouth-galaxy.org/en/solutions/detail/promotion-of-renewable-energy-technologies-in-public-and-private-institutions-in-ethiopia,"The project in Ethiopia aimed to promote renewable energy technologies in public and private institutions. This project helped reduce dependence on fossil fuels, promoted sustainable development, and improved access to electricity. It also facilitated capacity building and knowledge sharing among stakeholders. In 2021, UNDP launched a trilateral SSC project between China, Ethiopia, and Sri Lanka to encourage the adoption of productive biogas, biomass, and solar technologies in Ethiopia. This SSC project is piloting an integrated and innovative trilateral cooperation scheme that involves co-financing, joint design, and collaborative implementation at the management and technical levels, with the participation of three southern states. The cooperation serves as a learning platform for China, Ethiopia, and Sri Lanka to engage and collaborate at the international level on renewable energy technology and skill transfers.","CHN,ETH,LKA","CHN,ETH,LKA","Asia Pacific,Africa","Ministry of Commerce of China,UNDP in China,Ethiopia and Sri Lanka,Ethiopia Ministry of Water,Irrigation and Energy,Sri Lanka State Energy Authority(SLSEA),China Ministry of Science and Technology,Administrative Centre for China Agenda 21(ACCA 21),China Agricultural University",YES,YES,YES,,2019,2023,"Energy,Governance",SDG7,"SDG13,SDG17,SDG2"
80,Hackathon on Inclusive Financial Services ,https://my.southsouth-galaxy.org/en/solutions/detail/hackathon-on-inclusive-financial-services,"The project aimed to promote financial inclusion and improve access to financial services for marginalized communities. This project brought together stakeholders from the private and public sectors, and facilitated the development of innovative solutions. It also helped promote entrepreneurship and financial literacy. Lesotho learned experience from Ghana, Rwanda, South Africa through SSTC with the support from UNDP. South-South partnerships were established with FinMark Trust (an independent non-profit organization based in South Africa that promotes financial inclusion and regional financial integration) and MEST Africa (a fintech mentorship programme based in Ghana that supports young African software entrepreneurs through training and incubation). Prior experience-sharing engagement with UNDP Rwanda was facilitated through peer-to-peer support organized by the UNDP Regional Service Centre for Africa. The initiative thus benefitted from South-South technical support to shape the concept and terms of reference and maximize stakeholder outreach.",LSO,"GHA,RWA,ZAF",Africa,"FinMark Trust,UNDP Lesotho,LesothoMinistry of Finance,FinMark Trust",YES,YES,YES,,2018,2019,"Governance,Poverty and Inequality",SDG8,"SDG1,SDG9,SDG10,SDG17"
81,E-commerce to Support Informal Market Vendors ,https://my.southsouth-galaxy.org/en/solutions/detail/e-commerce-to-support-informal-market-vendors,"The e-commerce project aimed to support informal market vendors in Kampala, Uganda by providing them with access to new markets and customers. This project helped Uganda to increase incomes, promote entrepreneurship and support economic growth. It also facilitated capacity building and knowledge sharing among stakeholders. Implemented in Uganda, the initiative benefited from stimulating South-South exchanges on the role of e-commerce as a transformative digital technology with countries like Cote dIvoire, Ghana, Kenya, Namibia, Niger and Nigeria. ",UGA,"CIV,GHA,KEN,NAM,NER,NGA",Africa,"UNDP Rapid Response Facility,UNDP Uganda,Jumia Uganda",YES,YES,YES,,2020,2021,Poverty and Inequality,SDG2,"SDG3,SDG8,SDG17"
82,Working with Guineas Chamber of Mines and the Mining Industry to Enhance Local Development Impact ,https://my.southsouth-galaxy.org/en/solutions/detail/working-with-guineas-chamber-of-mines-and-the-mining-industry-to-enhance-local-development-impact,"The project in Guinea aimed to enhance local development impact of the mining industry by working with the Chamber of Mines. This project facilitated dialogue among stakeholders, and helped identify opportunities for local development. It also promoted sustainable development and responsible mining practices."" India funded the project and implemented in Guinea. Through enhanced South-South cooperation within the region, this project can provide a model for replication in other African countries in which the mining sector accounts for a large share of the GDP (such as Burkina Faso, Mali, Niger and Senegal).","BFA,MLI,NER,SEN","GIN,IND",Africa,"United Nations Capital Development Fund (UNCDF),UNDP Guinea",YES,YES,YES,,2018,2019,"Governance,Poverty and Inequality",SDG9,"SDG1,SDG10,SDG17"
83,Deaf Livelihoods Development Activity ,https://my.southsouth-galaxy.org/en/solutions/detail/deaf-livelihoods-development-activity,"The project is to actively engage Kenyan people who are deaf and their families out of extreme poverty in self-employment economic activities. Sponsored by the Indian Institute of Public Health, the Deaf Empowerment Society of Kenya attended a conference in 2018 to share the lessons learned from the initiative and other experiences on disability, health, and inclusion. ",KEN,IND,"Asia Pacific,Africa","Government of Kenya,UNDP,USAID,Indian Institute of Public Health,Deaf Empowerment Society of Kenya(DESK)",,,,,2016,2018,Poverty and Inequality,SDG10,"SDG8,SDG3,SDG17"
84,Integrated Landscape Management for Improved Livelihoods ,https://my.southsouth-galaxy.org/en/solutions/detail/integrated-landscape-management-for-improved-livelihoods,"The project aimed to promote sustainable land use practices and improve rural livelihoods in six African countries through a landscape approach that integrated economic, social, and environmental factors. Projectactivities included a South-South learning visit to the Upper Tana Nairobi Water Fund Project in Kenya, attended by Ugandan farmers and technical officers from three district governments and from three of the five ministries that form the national inter-ministerial committee on sustainable land management. This project is funded by Germany.",UGA,"KEN,DEU","Africa,Europe","Global Environment Facility (GEF),UNDP,District Government of Bulambuli,District Government of Manafwa,District Government of Mbale,UgandaNational Forest Authority,Government of Uganda (Operation Wealth Creation),Uganda Coffee Development Authority,Office of the Prime Minister (Third Northern Uganda Social Action Fund),ECOTRUST,Uganda Women Environment Project,Mount Elgon Tree Planting Project,Kyagalanyi Coffee Limited,UNEP (UN-REDD Programme),Government of Germany (Low Emission Capacity Building project),European Union (Low Emission Capacity Building project)",,YES,,,2017,2020,Environment,SDG2,"SDG1,SDG15,SDG5,SDG17"
85,Capacity Development Support to Kenyas Foreign Service Academy ,https://my.southsouth-galaxy.org/en/solutions/detail/capacity-development-support-to-kenyas-foreign-service-academy,"The project provided training and technical assistance to improve the performance of Kenya's diplomats and enhance the country's foreign policy and international relations. 12 countries to share experiences: Algeria, Central African Republic, Democratic Republic of the Congo, Djibouti, Egypt, Ethiopia, Gabon, Kenya, Nigeria, South Africa, Sudan and Uganda. The richness of the discussions in this South-South meeting prompted the participants to call upon the African Union to provide overarching guidance on training and skills development within all regional diplomatic academies.","DZA,CAF,COD,DJI,EGY,ETH,GAB,IND,KEN,NGA,KOR,ZAF,SDN,UGA.","DZA;KOR,USA","Africa,Asia Pacific,North America","UNDP,Kenya Ministry of Foreign Affairs",YES,YES,,,2019,2019,Governance,SDG16,SDG17
86,Electoral Transparency and Credibility ,https://my.southsouth-galaxy.org/en/solutions/detail/electoral-transparency-and-credibility,"The Electoral Transparency and Credibility project provides tailored technical assistance to MozambiqueEMBs to strengthen their capacities through an electoral cycle approach, contributing to the creation and maintenance of an environment for inclusive and responsive electoral and political processes. Management delegations from Timor-Leste and three from the Bolivarian Republic of Venezuela were invited to Mozanbique to exchange experiences.These exchange programmes helped all the EMBs involved enhance their capacity, through a collective learning process. For instance, Timor-Leste, which is just beginning to conduct and manage elections, had an opportunity to strengthen its own national electoral management system and the Bolivarian Republic of Venezuela, which has a similar electoral management system, learned from the Mozambican experience before its own 2020 parliamentary elections. The project was supported by the Governments of Canada, Finland and Norway and the Department for International Development of the United Kingdom.","MOZ,TLS,VEN","MOZ,TLS,VEN,FIN,NOR,GBR,CAN","Asia Pacific,Africa,LAC,North America,Europe","UNDP,Government of Canada,Government of Finland,Government of Norway,Department for International Development of the United Kingdom,Comisso Nacional Eleitoral(National Electoral Commission CNE),Technical Secretariat for the Administration of Elections STAE,UNDP Mozambique",,YES,YES,,2018,2021,Governance,SDG16,"SDG10,SDG17"
87,Enhancing Human and Institutional Capacity in the Justice Sector in Eritrea ,https://my.southsouth-galaxy.org/en/solutions/detail/enhancing-human-and-institutional-capacity-in-the-justice-sector-in-eritrea,"The project aimed to strengthen the Eritrean justice sector by improving the skills and capacities of judges, prosecutors, and lawyers. Eritrean Monistry of Justice and UNDP engaged with the University of South Africa (UNISA) through a South-South cooperation modality to create specialized online Eritrean law learning.",ERI,ZAF,Africa,"UNDP,EritreaMinistry of Justice",,YES,YES,,2018,2020,Governance,SDG16,"SDG4,SDG17"
88,Lesotho National Dialogue and Stabilization Project ,https://my.southsouth-galaxy.org/en/solutions/detail/lesotho-national-dialogue-and-stabilization-project,"The project aimed to promote dialogue and reconciliation among different political and social groups in Lesotho and to build capacity for peacebuilding and conflict resolution. The project utilized South-South cooperation by relying on the mobilization capability of civil society and faith-based organizations in SADC member countries. A fulltime SADC Facilitation Team led by the President of South Africa was established to engage with SADC, thus serving as a political and social deadlock breaking mechanism to defuse tensions in the dialogue process. South Africa's experience with transitioning from apartheid rule and the handling of internal conflicts through a mediating role was critical to the negotiations and consensus building. The national dialogue process identified the institutions that should be reformed to enhance good governance, social accountability and cohesion. ",LSO,ZAF,"Africa,Europe","United Nations Peacebuilding Fund,UNDP,UN Women,United Nations High Commissioner for Refugees (UNHCR),Office of the High Commissioner for Human Rights (OHCHR),Government of Lesotho,National Dialogue Planning Committee,Southern African Development Community (SADC),Lesotho Council of Non-Governmental Organizations,Christian Council of Lesotho,EU",,YES,YES,,2018,2020,"Governance,Resilience",SDG16,"SDG5,SDG17"
89,Provincial Peace Committees ,https://my.southsouth-galaxy.org/en/solutions/detail/provincial-peace-committees,"The project aimed to establish peace committees in the North and South Kivu provinces of the Democratic Republic of Congo to facilitate peacebuilding and conflict resolution at the local level. South-South learning, facilitated by UNDP with the engagement of experts from Ghana, Kenya and South Africa, contributed to the development of a decentralized system to enhance conflict prevention, management and transformation within Zimbabweten provinces.  ",ZWE,"GHA,KEN,ZAF",Africa,"ZimbabweOffice of President and Cabinet,ZimbabweOfficeof the Vice-President,ZimbabweMinistry of Public Service,Labour and Social Welfare,National Peace and Reconciliation Commission,Traditional Chiefs Council,National Association of Non-Governmental Organizations,Zimbabwe Heads of Christian Denominations,UNDP,United Nations ChildrenFund,UN Women",,,YES,,2019,2021,"Governance,Resilience",SDG16,"SDG5,SDG17"
90,Accelerating the Implementation of African Union Treaties in Sao Tome and Principe,https://my.southsouth-galaxy.org/en/solutions/detail/accelerating-the-implementation-of-african-union-treaties-in-sao-tome-and-principe,"In the framework of the joint African Union-United Nations Development Programme (UNDP) project, Accelerating the Ratification and Domestication of African Union Treaties was a regional initiative supported by the Government of Sweden, anchored in the UNDP Regional Programme for Africa and implemented by the UNDP Regional Bureau for Africa. The project aimed to strengthen the capacity of the Sao Tome government to implement African Union treaties related to human rights, governance, and economic development. A familiarization visit to Benin by members of Sao Tome and Principejudicial bodies took place in December 2019. The main objective of this three-day South-South exchange visit was to promote the exchange of Beninese good practices.",STP,"BEN,SWE","Africa,Europe","Government of Sweden,UNDP Regional Bureau for Africa,Government of Sao Tome and Principe,Government of Benin,UNDP in Benin and Sao Tome and Principe",,YES,YES,,2018,2021,"Governance,Gender Equality",SDG16,"SDG5,SDG17"
91,Investment Clubs for Local Development ,https://my.southsouth-galaxy.org/en/solutions/detail/investment-clubs-for-local-development,The project aimed to promote local investment and entrepreneurship in Senegal through the establishment of investment clubs that provided funding and technical assistance to small and medium enterprises. India provided financial resrouces to Senegal. The initiative paves the way for similar activities in other West African countries that have common factors.,SEN,IND,"Africa,Asia Pacific","United Nations Capital Development Fund(UNCDF),UNDP Senegal",,YES,YES,,2018,2020,Poverty and Inequality,SDG17,"SDG1,SDG8,SDG9,SDG10,SDG11"
95,AGREM +: Making the Mining Sector a Lever for Local Development ,https://my.southsouth-galaxy.org/en/solutions/detail/agrem-making-the-mining-sector-a-lever-for-local-development,"The AGREM project worked towards making the mining sector a catalyst for local development by promoting sustainable and responsible mining practices, improving the living standards of mining communities, and facilitating their inclusion in the decision-making process. Thanks to the sharing of best practices throughout South-South exchanges within the Association of ECOWAS Chambers of Mines, countries such as Burkina Faso and Ghana in 2019  decided to create mechanisms based on the model developed in Guinea. The mechanisms can now be replicated and adapted to the needs of each country through South-South cooperation under the leadership of UNCDF.","BFA,GHA,MLI,SEN,SLE,ZAF",GIN,Africa,"Association of ECOWAS Chambers of Mines (EFEDCOM),Guinea Chamber of Mines,Burkina Faso Chamber of Mines,UNDP",YES,YES,YES,,2017,Present,Environment ,SDG1,"SDG6,SDG7,SDG8;SDG17"
96,The Pacific Financial Inclusion Programme (PFIP) ,https://my.southsouth-galaxy.org/en/solutions/detail/PFIP,"The PFIP project provided financial services and products to low-income communities in the Pacific region, improving their access to finance, enhancing financial literacy, and promoting financial inclusion. The programme integrates a South-South cooperation (Fiji, Papua New Guinea, Samoa, Solomon Islands, Timor-Leste, Tonga, Vanuatu ) element by bringing cross-border lessons and experiences to solve the developmental challenges.","FJI,PNG,WSM,SLB,TLS,TON,VUT","FJI,PNG,WSM,SLB,TLS,TON,VUT",Asia Pacific,"Government of Australia,New Zealand Aid Programme,European Union,UNCDF,United Nations Development Programme (UNDP),Caribbean and Pacific Microfinance Framework Programme(EU/ACP) ",YES,YES,YES,,2008,2020,Poverty and Inequality,SDG1,SDG17
97,Local Finance Initiative ,https://my.southsouth-galaxy.org/en/solutions/detail/local-finance-initiative,"The project aimed to strengthen the financial management capacity of local governments and increase their access to financing by promoting public-private partnerships, improving budgeting and revenue management, and enhancing the transparency and accountability of financial systems. The project supported countries in West Africa (i.e., The Gambia, Guinea and Senegal) to enhance capacity and South-South collaboration to identify opportunities and support local government authorities in developing bankable projects; supported to develop South-South cross-border markets that facilitate bilateral trade between countries in different regions. LFI has provided support to develop South-South cross-border markets that facilitate bilateral trade between countries in different regions, and hence helps to accelerate SDGs 9 and 17. A few examples are 8 aggregation centres and cross border markets in the Kigoma Region in the United Republic of Tanzania that assist in storage of agriculture produce, help to reduce post-harvest losses and facilitate trade and the movement of goods and services between the United Republic of Tanzania and Burundi. This initiative alone has supported over 23,000 small holder farmers hence helped to implement the Common Market Protocol in the Great Lakes Region in Eastern Africa, comprised of six countries: Burundi, Kenya, Rwanda, South Sudan, the United Republic of Tanzania and Uganda. The proto-col promotes regional integration and accelerates economic growth and development through the free movement of goods and people. The programme has so far benefited over 4.1 million people (2.2 million females and 1.9 million males) in the eight LDCs.","BGD,BEN,GMB,GIN,SEN,LSO,NPL,NOR,SWE,CHE,TZA,UGA",TZA,"Africa,Asia Pacific,Europe","UNDP,UNCDF,Swedish International Development Cooperation Agency (Sida),Swiss Agency for Development and Cooperation (SDC),Norwegian Agency for Development Cooperation (Norad),European Union (EU),One UN Tanzania,local governments and the private sector",YES,YES,,,2014,2022,"Poverty and Inequality,Governance",SDG1,"SDG9,SDG17"
98,Cross-border Market for Transforming the Local Economy and Empowering Women in Tanzania ,https://my.southsouth-galaxy.org/en/solutions/detail/ield,"Muhange (the project) aimed to promote regional economic cooperation, attracting traders from neighboring wards, divisions, and districts. The project also improved access to water and sanitation, leading to health benefits for women and their communities: supporting womenlivelihoods and security and access to water and sanitation. UNDP, together with UNCDF and UN Women, promoted regional economic cooperation in East Africa by supporting over 2,000 women from Burundi and Tanzania to trade and exchange ideas towards improving their livelihoods and communities, thanks to the project Transforming local economies and empowering women through the development of cross-border markets. Local women are actively engaged in cross-border trade, trading farm produce and livestock and selling food to vendors. The new Muhange Market provides a safe space for traders from Burundi and Tanzania to participate in economic activity, and yields significant positive impacts for the local area, especially for women. The market also plays an important role in enhancing border security between the two countries, which is an important priority for the member states of the East African Community. Switzerland and Norway supported this project.  ","BDI,TZA","CHE,NOR","Africa,Europe","UNCDF,UNDP,UN Women,Government of Switzerland,Government of Norway,Kakonko District Council (KDC)  ",,YES,YES,,2018,2022,"Gender Equality,Poverty and Inequality",SDG2,"SDG5,SDG3,SDG17"
99,Challenging the Youth Bulge Phenomenon in Zambia ,https://my.southsouth-galaxy.org/en/solutions/detail/youth-bulge-zambia,"The project focused on empowering young people in Zambia through skills training and entrepreneurship programs to address high youth unemployment rates and promote economic growth. Local Zambian partner We Skate Mongu (WSM) is a grassroots organization dedicated to skateboarding and working with children. During the project, WSMsoft skills, such as its knowledge of local conditions and relationship-building efforts, were crucial to the projectexecution and sustainability. WSM found the most suitable location for the park and facilitated negotiations with local authorities, while its sheer voluntary involvement in the construction helped to convince the local community to accept and support the project. WSM is also responsible for skatepark maintenance and scaling up its impact, via curating the extracurricular activities in the space, and gives lectures on topics such as community responsibility, equality, HIV prevention, etc. All four participating countries (the Czech Republic, Mozambique, Uganda, Zambia) played a key role in supporting the project in Zambia: The Czech NGO SWB facilitated TrC and We Stake Mongu (WSM) networking in Zambia and Maputo Skate in Mozambique. Then, Maputo Skate NGO provided online guidance and mentoring to We Skate Mongu (WSM), both in the planning phase and later during construction, based on the lessons learned while implementing their similar project. Social media was used for communication. The Uganda Skateboard Society visited Mongu and worked with SWB and WSM for three weeks at the construction site, learning techniques, and constructed a similar project a mini skatepark. The project in Mozambique was the first of its kind for SWB, allowing it to gain experience working in an LDC environment. SWBlatest project in Zambia, which won the support of Czech-UNDP PartnershipChallenge Fund, builds on the lessons learned and experiences obtained in Mozambique. Thanks to the Fund, the project in Mongu allows We Skate Mongu (WSM), a local Zambian partner, to increase the impact of its activities with a world-class Lukaba Hande2 skatepark on a relatively modest budget.","ZMB,UGA,MOZ","CZE,MOZ","Africa,Europe","Ministry of Foreign Affairs of the Czech Republic,Skate World Better Czech NGO,We Skate Mongu Zambian NGO,Maputo Skate NGO,Uganda Skateboard Society,Wonders Around the World global NGO,UNDP",YES,YES,YES,YES,2020,2021,"Poverty and Inequality,Governance",SDG3,"SDG4,SDG10,SDG11,SDG17,SDG5"
100,Blended Finance Investment for Womens Sustainable Economic Empowerment,https://www.uncdf.org/ield/bangladesh,"The project aimed to increase access to finance for rural entrepreneurs and small-scale farmers through innovative financial products and services. The pilot programme in Bangladesh has led to the cross-country transfer of knowledge, lessons and experiences in Mali, Senegal and the United Republic of Tanzania. The approach can be further replicated in other least developed countries for South-South Cooperation.","MLI,SEN,TZA","BGD,LUX","Asia Pacific,Africa,Europe","SIDA,SDC,Luxemburg,UNCDF,UNDP,UNWOMEN,Women-led SMEs,social enterprises,women development forum,women-led cooperatives",YES,YES,YES,YES,2017,2021,"Poverty and Inequality,Gender Equality",SDG5,"SDG1,SDG8,SDG17"
101,Unlocking Cambodian Womens Potential through Fiscal Space Creation ,https://my.southsouth-galaxy.org/en/solutions/detail/unlocking-combodian-womens-potential,"The project aimed to improve gender equality and women's economic empowerment in Cambodia by providing vocational training, business development support, and access to finance for women entrepreneurs. Building on the initial work of Asian Development Bank (ADB), UNCDF and the UN Resident Coordination Office (RCO) in Cambodia initiated with the MEF an international deep-dive policy consultation that brought in South-South expertise from the Bangladesh Bank, Thai Credit Guarantee Corporation and MoodyAnalytics (Singapore and Hong Kong of the People's Republic of China) to provide advisory services for the establishment of a credit guarantee facility in an emerging and graduating economy. ",KHM,"BGD,CHN,SGP,THA",Asia Pacific,"UNCDF,United Nations Development Programme(UNDP),International Organization for Migration(IOM),Multi-Partner Trust Fund(MPTF) COVID Fund",YES,YES,YES,,2020,Present,"Gender Equality,Poverty and Inequality",SDG5,"SDG1,SDG10,SDG17"
103,"National Intelligence for Skills, Education, Employment and Entrepreneurship (NISE3)",https://my.southsouth-galaxy.org/en/solutions/detail/nise3,"The project aimed to support sustainable industrialization in developing countries by promoting the adoption of energy-efficient technologies and practices in industrial sectors.  Somalia Government has replicated NISE in the name of ""Shaqo Abuur"" for the skills development and decent employment of 5.32 million. Jordan Government has replicated NISE in the name of Digi Maharat to provide skills development, employment and entrepreneurship support to 2.8 million youths. ","JOR,SOM",BGD,"Asia Pacific,MENA","ICT Division,Cabinet Division,and UNDP Bangladesh,a2i",YES,YES,,,2018,Present,Energy,SDG8,"SDG4,SDG17"
